Fund Code,Fund Name,ISIN Code 1,ISIN Code 2,NAV,Unknown1,Unknown2,Date
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.24,,,15-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.15,,,16-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.20,,,19-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.17,,,20-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.09,,,21-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.01,,,22-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,9.78,,,23-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,9.93,,,26-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.01,,,27-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.01,,,28-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.03,,,29-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.05,,,30-Dec-2022
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.08,,,02-Jan-2023
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,10.08,,,03-Jan-2023
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,9.98,,,04-Jan-2023
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,9.95,,,05-Jan-2023
149384,Axis Multicap Fund - Direct Plan - IDCW,INF846K014E8,INF846K015E5,9.85,,,06-Jan-2023
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.07,,,07-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.04,,,09-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.95,,,10-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.02,,,11-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.05,,,14-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.07,,,15-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.05,,,16-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.98,,,17-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.96,,,18-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.89,,,21-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.89,,,22-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.93,,,23-Nov-2022
